"ID Number,Student Name,Department,Year,Percentage,Local Hackathons Participated,Local Hackathons Won,Paper Presentations,National Level Hackathons participated,National Level Hackathons Won,Certifications,R&D Work Rating,Social Interactions,Paper Publications"
"22091A3351,Christine Frazier,AIML,3,69.45,1,5,6,3,3,13,5,1,26"
"21091A3489,Dr. Andrea Perry,Business Systems,4,79.21,22,1,3,5,1,24,2,6,8"
"21091A0195,Edward Greer,Civil,4,27.59,19,1,8,2,1,1,2,9,9"
"23091A0137,Brian Jackson,Civil,2,21.5,13,5,0,3,1,3,3,4,11"
"22091A0275,Antonio Roberts,EEE,3,57.37,29,7,9,0,1,0,1,2,29"
"24091A0763,Tonya Moore,Mech,1,97.4,13,3,0,4,3,11,5,0,15"
"22091A3397,Lynn Cobb,AIML,3,18.08,29,4,10,4,2,19,4,4,2"
"22091A3493,Edwin Mcneil,Business Systems,3,42.51,8,9,0,1,0,6,4,4,18"
"22091A0584,Teresa Miles DDS,CSE,3,52.24,6,7,1,2,1,11,1,10,6"
"22091A0769,Devin King,Mech,3,19.04,20,4,10,4,3,11,4,6,15"
"22091A0777,Brandon Raymond,Mech,3,7.4,29,3,4,1,2,27,5,10,12"
"22091A0545,Russell Alvarado,CSE,3,74.77,5,5,6,0,0,11,5,4,16"
"22091A0535,Kara Hopkins DDS,CSE,3,35.37,4,8,2,5,4,2,4,6,17"
"23091A3239,Monica Harris,DS,2,35.72,20,0,0,5,3,3,3,9,0"
"23091A0233,Stephanie Freeman,EEE,2,38.36,9,10,2,1,1,6,3,5,11"
"21091A3375,Anne Williamson,AIML,4,59.25,8,5,6,2,0,0,1,9,30"
"23091A0548,Sarah Harris,CSE,2,0.55,25,1,4,1,5,7,1,2,16"
"23091A3332,Ashley Gibson,AIML,2,75.35,11,1,3,4,1,0,1,4,15"
"22091A0768,Amanda Graves,Mech,3,14.43,30,3,6,4,4,9,2,1,19"
"24091A0165,Regina Prince,Civil,1,63.72,0,5,7,2,0,16,2,6,23"
"24091A0140,Justin Roberts,Civil,1,79.72,4,1,4,4,3,6,1,0,0"
"21091A3228,Jack Luna,DS,4,18.87,22,0,4,0,4,26,2,9,0"
"24091A3494,Dan Hall,Business Systems,1,7.69,0,9,5,2,1,12,4,5,25"
"22091A012,Eduardo Banks,Civil,3,97.5,13,6,2,0,2,30,4,7,10"
"24091A0546,David Wilson,CSE,1,34.51,0,10,5,3,2,22,2,7,9"
"24091A0243,Andrea Reed,EEE,1,29.61,10,7,0,1,2,15,5,5,22"
"22091A3365,Rebecca Hughes,AIML,3,35.9,4,7,4,0,3,17,1,1,15"
"23091A0194,Shannon Dominguez,Civil,2,30.96,26,10,9,4,1,18,1,9,7"
"23091A3468,Joseph Parks,Business Systems,2,21.42,29,0,9,4,1,14,1,0,11"
"21091A025,Cheryl Smith,EEE,4,25.81,26,9,3,0,2,11,3,0,8"
"23091A0176,Michael Dixon,Civil,2,86.42,2,6,10,1,3,13,4,9,19"
"21091A0564,Margaret Henry,CSE,4,75.49,17,5,5,1,3,28,3,1,3"
"21091A0594,Claudia Adams,CSE,4,52.44,3,7,8,2,2,8,5,8,20"
"22091A3358,Austin Rodriguez DVM,AIML,3,62.62,10,10,6,5,3,29,5,3,5"
"24091A0541,Stephanie Davis,CSE,1,14.03,23,8,6,0,2,18,2,4,7"
"21091A3365,Donald Diaz,AIML,4,24.55,14,3,10,4,5,18,4,2,14"
"23091A3235,Francisco Davidson,DS,2,43.52,21,9,4,5,4,13,2,9,4"
"22091A022,Marvin Jones,EEE,3,10.81,19,8,2,5,2,0,1,10,20"
"24091A0518,Ryan Nichols,CSE,1,4.42,29,3,6,3,4,17,5,2,26"
"21091A0258,Kenneth Ho,EEE,4,99.01,4,8,6,3,3,14,2,0,30"
"22091A0126,Omar Gross,Civil,3,78.76,6,4,1,0,1,18,5,0,11"
"23091A0558,Victoria Gonzalez,CSE,2,17.79,7,3,7,4,1,30,3,9,12"
"21091A0533,Sarah Rogers,CSE,4,93.95,29,4,3,2,3,7,1,4,24"
"22091A0234,Dorothy Allen,EEE,3,16.94,7,5,1,2,3,6,5,6,18"
"24091A0749,Valerie Blake,Mech,1,54.65,28,5,4,5,4,11,3,5,4"
"21091A0779,Travis King,Mech,4,89.26,0,4,2,4,5,26,3,5,8"
"22091A0216,John Keller,EEE,3,27.82,25,1,2,3,0,1,3,4,26"
"24091A3456,Curtis Ross,Business Systems,1,77.63,12,4,3,2,0,10,2,5,4"
"21091A0268,Melissa Hall,EEE,4,16.2,19,9,1,1,4,17,1,0,14"
"21091A0561,Traci Ewing,CSE,4,39.2,20,6,5,2,4,10,5,5,5"
"23091A3491,James Stevens,Business Systems,2,12.32,21,9,10,3,0,26,1,4,1"
"21091A0194,Erin Herrera,Civil,4,30.82,30,3,6,4,3,25,4,0,15"
"23091A327,Melissa Mccarthy,DS,2,13.83,30,5,10,2,4,15,5,2,1"
"24091A0729,Dawn Hernandez,Mech,1,49.18,15,8,8,4,3,4,3,1,22"
"22091A0127,Ronald Adams,Civil,3,47.22,8,5,10,0,3,15,5,8,20"
"23091A0762,Courtney Brown,Mech,2,54.67,7,8,2,5,0,25,3,6,27"
"22091A0116,Jessica Romero,Civil,3,52.69,28,4,5,3,5,10,4,3,4"
"23091A0539,Amanda Fisher,CSE,2,66.65,23,10,2,0,4,2,1,4,20"
"24091A3244,Joseph Mckinney,DS,1,33.51,3,7,7,0,0,26,5,6,3"
"21091A3419,Jeffery Rice,Business Systems,4,89.99,6,8,7,4,3,0,5,5,29"
"22091A3270,Tyler Henderson,DS,3,65.8,9,7,10,4,0,23,1,5,17"
"23091A0195,Kristen Mack,Civil,2,81.68,30,1,8,1,3,21,4,6,25"
"24091A329,Jasmine Knight DDS,DS,1,46.15,4,8,4,2,0,29,2,3,21"
"22091A0168,Megan Walsh,Civil,3,9.21,19,3,3,2,1,17,1,5,2"
"21091A0590,Luke Wilson,CSE,4,34.09,8,1,7,0,2,24,2,9,7"
"24091A0235,Allison Padilla,EEE,1,92.79,19,2,6,0,3,21,3,0,3"
"21091A0758,Jason Garcia,Mech,4,41.98,25,0,9,3,2,18,3,4,1"
"23091A0712,Derrick Peterson,Mech,2,63.87,5,8,7,5,4,28,5,10,3"
"22091A0296,Michelle Ward,EEE,3,85.3,19,2,3,5,3,29,1,3,5"
"22091A0113,Pamela Paul,Civil,3,4.77,30,2,8,1,3,5,4,1,16"
"22091A0222,Joe Riddle,EEE,3,52.41,18,6,2,0,2,17,1,7,11"
"22091A3250,Maria Zimmerman,DS,3,64.84,11,3,6,0,3,23,2,10,21"
"24091A3246,Daniel Skinner,DS,1,18.13,18,2,8,2,3,15,2,3,19"
"21091A0195,Roger Ross,Civil,4,93.5,14,7,8,0,1,21,4,3,24"
"24091A3312,Robert Key,AIML,1,22.79,8,2,2,0,0,18,4,5,30"
"23091A327,Lauren Jacobs,DS,2,27.68,11,1,8,5,5,19,1,9,3"
"22091A3441,Heather White,Business Systems,3,14.5,22,8,5,0,4,13,3,4,12"
"22091A079,Judith Christensen,Mech,3,51.53,14,9,9,3,5,7,3,7,28"
"23091A0772,Debra Allen,Mech,2,90.28,2,6,9,1,5,1,3,0,24"
"22091A0224,Amber Delgado,EEE,3,34.14,16,6,8,0,4,3,3,3,2"
"22091A0140,Daniel Rhodes,Civil,3,41.56,14,3,10,5,0,30,2,5,20"
"22091A3272,Ronald Scott,DS,3,62.08,17,9,5,0,4,0,5,10,23"
"21091A0136,Robin Myers,Civil,4,6.85,19,5,8,5,0,23,5,10,20"
"24091A0577,Ricky Cook,CSE,1,53.56,4,8,0,1,0,18,3,2,25"
"24091A0227,Ashley Brown,EEE,1,73.78,27,8,6,3,2,20,5,5,20"
"21091A0116,Jerry Anderson,Civil,4,59.18,20,8,9,5,3,27,2,7,3"
"21091A0728,Jenny Hines,Mech,4,0.83,7,7,0,2,3,2,4,4,11"
"21091A3313,Jason Lopez,AIML,4,45.38,28,9,8,1,2,18,1,1,17"
"22091A3370,Karen Frederick,AIML,3,97.69,20,1,4,3,3,28,2,0,8"
"23091A3313,Richard Peters,AIML,2,37.15,3,10,5,4,4,11,5,8,23"
"24091A0530,Sergio Curtis,CSE,1,76.97,21,1,6,3,2,16,4,4,26"
"23091A0254,Laurie Deleon,EEE,2,72.07,18,9,4,2,4,24,4,8,7"
"24091A3250,Daniel French,DS,1,42.64,15,8,4,2,3,13,4,2,4"
"21091A3491,Dr. Joseph Rodriguez,Business Systems,4,75.52,16,4,7,5,0,19,4,1,2"
"24091A0576,John Brown,CSE,1,54.55,8,1,6,3,3,7,5,1,22"
"24091A0286,Jennifer Nash,EEE,1,3.34,0,4,9,5,1,12,3,9,9"
"22091A0280,Clarence Clark,EEE,3,60.68,4,1,7,0,4,22,2,7,29"
"23091A0128,Lisa Gray,Civil,2,58.1,28,7,9,3,5,19,5,7,3"
"21091A0785,Erin Gutierrez,Mech,4,38.76,23,4,9,3,5,7,1,7,25"
"24091A0230,Joseph Hopkins,EEE,1,46.25,4,0,9,3,1,26,5,7,16"
"22091A3428,Jaime Salinas,Business Systems,3,60.8,3,4,5,3,5,30,5,3,14"
"24091A0277,Ann Medina,EEE,1,2.72,5,10,2,0,2,30,3,0,29"
"22091A0243,Amy Lyons,EEE,3,45.32,27,2,1,3,4,30,4,10,30"
"22091A0183,Brenda Morton,Civil,3,73.11,11,6,6,5,5,10,5,1,24"
"23091A0757,Justin Johnson,Mech,2,91.93,19,2,6,4,4,7,4,2,17"
"22091A3472,Nancy Ware,Business Systems,3,80.35,18,9,7,3,4,14,3,7,29"
"22091A0291,Timothy Brown,EEE,3,28.48,22,10,4,1,1,22,1,2,9"
"22091A025,Bailey Barnes,EEE,3,27.46,24,2,0,2,5,29,3,7,8"
"22091A0211,Claire Cook,EEE,3,14.0,21,0,7,0,0,6,4,7,13"
"23091A3347,Kara Harris,AIML,2,83.55,29,7,1,3,1,13,1,6,15"
"21091A3413,Daniel Burns,Business Systems,4,72.97,16,1,7,5,4,0,4,2,18"
"22091A0199,Brandi Harrison,Civil,3,39.35,28,8,10,4,3,22,5,3,22"
